ra dec no1 no2 no3 no4 no5 no6 no7 no8 no9 no10 no11 dist no12 Pcol
358.795 0.557872 6.24791 -12.6788 -17.197 2.6492 -5.47634 24.9441 -0.524593 -0.242935 -258.043 -19.2457 253.943 24.9508 192.475 0
271.828 2.84823 319.004 67.2823 -3.34182 -8.98954 32.7305 1.13053 -35.4215 -1.76319 115.926 3.42723 -132.501 35.4834 -156.88 3
43.9937 5.44046 14.9897 -57.5702 -24.008 8.30282 -50.5251 42.8706 41.3905 -5.67545 -29.0526 -37.7611 189.951 59.8604 -150.516 3
358.68 3.1719 3.6114 -13.1719 -16.287 1.4698 -5.46089 23.9216 -0.551201 -1.32601 -185.822 -17.6605 200.991 23.9646 133.691 0
67.864 7.07886 41.9158 -79.8516 3.94413 2.74412 -22.9483 8.71755 21.4301 -2.87299 -95.954 26.446 -208.41 23.3131 220.844 3
206.028 -6.68312 186.454 40.525 20.0024 -1.47066 11.1851 -15.3627 -7.50233 2.00329 213.173 7.71268 -65.0733 17.2137 118.069 4
359.926 4.52619 2.53784 -14.6865 -16.0486 1.02161 -6.04704 23.7769 -0.0306395 -1.88222 -215.216 -57.1162 229.975 23.8513 147.228 0
359.523 0.900974 6.08193 -13.4669 -17.2654 2.58557 -5.84386 25.0896 -0.208928 -0.394579 -257.237 -84.3516 208.396 25.0935 191.533 0
230.009 2.96208 214.507 59.5202 23.427 -11.2924 33.8674 -25.2216 -30.068 -2.03072 214.447 -15.8644 58.3764 39.298 144.505 3
356.155 2.35199 3.83971 -10.5293 -15.819 1.53157 -4.25102 23.1909 -1.55863 -0.954669 -230.654 -34.164 224.261 23.2628 183.031 0
353.073 2.30353 3.17196 -7.52091 -16.161 1.28357 -3.06259 23.209 -2.81969 -0.940467 -200.829 -40.7213 212.037 23.3986 168.809 0
359.391 1.98817 4.96296 -13.5925 -16.35 2.02772 -5.66717 24.0982 -0.256113 -0.836592 -197.946 -44.7698 208.133 24.1141 139.001 0
358.45 0.338283 6.38287 -12.2919 -17.6775 2.76064 -5.41064 25.4051 -0.687229 -0.150053 -211.017 -39.9224 220.714 25.4149 153.577 0
358.625 3.00734 3.76324 -13.0813 -17.8756 1.63626 -5.79285 25.5518 -0.613213 -1.34278 -237.55 -29.5 231.329 25.5944 176.643 0
